# n	dim	aos_avg	aos_dev	soa_avg	soa_dev	soa_f_avg	soa_f_dev
10	50	0.07	0.002	0.06	0.004	0.04		0.001
100	50	0.67	0.008	0.53	0.006	0.36		0.004
1000	50	6.91	0.08	5.47	0.02	3.67		0.07
10000	50	77.66	1.10	59.33	0.64	37.11		0.81
10	250	0.22	0.003	0.17	0.008	0.16		0.008
100	250	2.04	0.01	1.54	0.02	1.40		0.02
1000	250	21.04	0.19	15.17	0.11	14.20		0.11
10000	250	300.93	4.49	217.58	3.79	206.59		2.78
10	500	0.35	0.004	0.26	0.01	0.26		0.005
100	500	3.62	0.02	2.64	0.02	2.58		0.02
1000	500	37.70	0.18	27.73	0.17	27.31		0.20
10000	500	512.61	15.37	382.24	12.21	373.68		11.62
